1.047,LEFT
2.121,RIGHT
3.743,DOWN
5.600,LEFT
7.004,LEFT
8.409,LEFT
9.839,LEFT
11.294,DOWN
13.239,LEFT
14.721,LEFT
16.224,UP
17.671,DOWN
19.001,DOWN
20.399,DOWN
21.800,LEFT
23.402,DOWN
25.059,UP
26.505,DOWN
28.121,RIGHT
29.638,LEFT
31.547,UP
33.125,UP
34.606,UP
35.986,LEFT
37.388,RIGHT
38.796,DOWN
40.207,DOWN
41.538,DOWN
42.937,LEFT
44.434,RIGHT
45.787,UP
47.233,DOWN
48.663,LEFT
50.202,DOWN
52.077,UP
53.496,RIGHT
54.946,LEFT
56.823,RIGHT
58.427,UP
59.895,DOWN
61.376,DOWN
63.097,LEFT
64.170,DOWN
65.570,UP
67.017,LEFT
68.361,RIGHT
69.790,LEFT
71.202,DOWN
72.593,DOWN
74.083,DOWN
75.519,DOWN
77.020,UP
78.695,RIGHT
79.796,RIGHT
82.100,RIGHT
83.973,DOWN
85.273,RIGHT
87.806,UP
89.408,RIGHT
90.690,LEFT
92.631,RIGHT
94.164,UP
96.272,DOWN
97.957,RIGHT
100.043,RIGHT
102.183,DOWN
103.686,LEFT
105.155,RIGHT
106.874,DOWN
108.153,UP
109.742,RIGHT
111.146,DOWN
112.466,LEFT
113.847,UP
115.429,LEFT
116.814,LEFT
118.451,UP
119.982,DOWN
121.514,UP
123.086,UP
125.044,RIGHT
126.876,LEFT
128.600,RIGHT
130.477,LEFT
132.411,UP
134.314,RIGHT
136.032,RIGHT
137.588,DOWN
139.030,UP
141.151,LEFT
143.410,UP
145.580,UP
147.931,LEFT
150.343,LEFT
152.645,UP
154.723,UP
156.642,RIGHT
158.680,DOWN
160.419,DOWN
162.594,RIGHT
164.412,UP
166.634,UP
168.659,DOWN
170.481,UP
172.115,RIGHT
173.632,LEFT
175.534,UP
177.339,RIGHT
179.112,LEFT
181.049,DOWN
183.186,RIGHT
184.969,DOWN
187.050,RIGHT
